0:0:0:0:0:0:0:1 - - [30/Nov/2018:10:24:13 +0800] "GET /Goods/on.jsp HTTP/1.1" 200 3489
0:0:0:0:0:0:0:1 - - [30/Nov/2018:10:24:13 +0800] "GET /Goods/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [30/Nov/2018:10:24:13 +0800] "GET /Goods/fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [30/Nov/2018:10:24:13 +0800] "GET /Goods/fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [30/Nov/2018:10:27:11 +0800] "GET /Goods/register.jsp HTTP/1.1" 200 6375
0:0:0:0:0:0:0:1 - - [30/Nov/2018:10:27:11 +0800] "GET /Goods/js/register.js HTTP/1.1" 200 6536
0:0:0:0:0:0:0:1 - - [30/Nov/2018:10:27:14 +0800] "GET /Goods/index.jsp?logout=exit HTTP/1.1" 200 9470
0:0:0:0:0:0:0:1 - - [30/Nov/2018:10:27:14 +0800] "POST /Goods/noteGettingServlet HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [30/Nov/2018:10:29:32 +0800] "GET /Goods/register.jsp HTTP/1.1" 200 6375
0:0:0:0:0:0:0:1 - - [30/Nov/2018:10:31:33 +0800] "GET /Goods/index.jsp?logout=exit HTTP/1.1" 200 9470
0:0:0:0:0:0:0:1 - - [30/Nov/2018:10:31:33 +0800] "POST /Goods/noteGettingServlet HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [30/Nov/2018:10:33:46 +0800] "GET /Goods/index.jsp HTTP/1.1" 200 9470
0:0:0:0:0:0:0:1 - - [30/Nov/2018:10:33:46 +0800] "POST /Goods/noteGettingServlet HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [30/Nov/2018:10:55:47 +0800] "POST /Goods/userLoginServlet HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [30/Nov/2018:10:55:47 +0800] "GET /Goods/index.jsp HTTP/1.1" 200 9470
0:0:0:0:0:0:0:1 - - [30/Nov/2018:10:55:47 +0800] "POST /Goods/noteGettingServlet HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [30/Nov/2018:10:55:53 +0800] "POST /Goods/userLoginServlet HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [30/Nov/2018:10:55:53 +0800] "GET /Goods/index.jsp HTTP/1.1" 200 9470
0:0:0:0:0:0:0:1 - - [30/Nov/2018:10:55:54 +0800] "POST /Goods/noteGettingServlet HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [30/Nov/2018:10:55:55 +0800] "GET /Goods/revise.jsp HTTP/1.1" 200 17491
0:0:0:0:0:0:0:1 - - [30/Nov/2018:10:55:55 +0800] "GET /Goods/src/LOGO128.ico HTTP/1.1" 200 51262
0:0:0:0:0:0:0:1 - - [30/Nov/2018:10:55:55 +0800] "GET /Goods/js/revise.js HTTP/1.1" 200 23909
0:0:0:0:0:0:0:1 - - [30/Nov/2018:10:56:50 +0800] "POST /Goods/noteGettingServlet HTTP/1.1" 200 501
